subid,date,day_label,lat,lon,time,duration
23,2011-02-14,120,42.7905163,-73.8651035,2011-02-14T05:30:19Z,10.35
23,2011-02-14,120,42.7913092,-73.8656258,2011-02-14T05:40:40Z,9.566666666666666
23,2011-02-14,120,42.7906364,-73.8649764,2011-02-14T05:50:14Z,10.533333333333333
23,2011-02-14,120,42.7908102,-73.8652044,2011-02-14T06:00:46Z,9.8
23,2011-02-14,120,42.79085,-73.865153,2011-02-14T06:10:34Z,10.15
23,2011-02-14,120,42.7879808,-73.8635969,2011-02-14T06:20:43Z,10.283333333333333
23,2011-02-14,120,42.7859391,-73.8593084,2011-02-14T06:31:00Z,9.116666666666667
23,2011-02-14,120,42.7846182,-73.8548567,2011-02-14T06:40:07Z,10.1
23,2011-02-14,120,42.7837831,-73.8500958,2011-02-14T06:50:13Z,9.983333333333333
23,2011-02-14,120,42.7865738,-73.8478464,2011-02-14T07:00:12Z,10.3
23,2011-02-14,120,42.7873158,-73.8439,2011-02-14T07:10:30Z,9.95
23,2011-02-14,120,42.7849831,-73.8423413,2011-02-14T07:20:27Z,10.116666666666667
23,2011-02-14,120,42.7845183,-73.8455705,2011-02-14T07:30:34Z,9.616666666666667
23,2011-02-14,120,42.784417500000004,-73.8450893,2011-02-14T07:40:11Z,10.033333333333333
23,2011-02-14,120,42.7887695,-73.8480981,2011-02-14T07:50:13Z,10.116666666666667
23,2011-02-14,120,42.7870087,-73.8513584,2011-02-14T08:00:20Z,10.533333333333333
23,2011-02-14,120,42.7891642,-73.8510203,2011-02-14T08:10:52Z,10.016666666666667
23,2011-02-14,120,42.7892084,-73.8509678,2011-02-14T08:20:53Z,10.05
23,2011-02-14,120,42.7892075,-73.8510581,2011-02-14T08:30:56Z,10.25
23,2011-02-14,120,42.7877459,-73.8509126,2011-02-14T08:41:11Z,9.916666666666666
23,2011-02-14,120,42.7875755,-73.8565472,2011-02-14T08:51:06Z,9.75
23,2011-02-14,120,42.7867735,-73.8606142,2011-02-14T09:00:51Z,10.016666666666667
23,2011-02-14,120,42.7862778,-73.8610346,2011-02-14T09:10:52Z,9.6
23,2011-02-14,120,42.7865699,-73.8607274,2011-02-14T09:20:28Z,10.883333333333333
23,2011-02-14,120,42.7866968,-73.8605472,2011-02-14T09:31:21Z,9.316666666666666
23,2011-02-14,120,42.78663,-73.8605322,2011-02-14T09:40:40Z,9.633333333333333
23,2011-02-14,120,42.7866895,-73.8604265,2011-02-14T09:50:18Z,10.566666666666666
23,2011-02-14,120,42.7865599,-73.8606282,2011-02-14T10:00:52Z,9.816666666666666
23,2011-02-14,120,42.7866839,-73.8604876,2011-02-14T10:10:41Z,9.566666666666666
23,2011-02-14,120,42.7866306,-73.8605084,2011-02-14T10:20:15Z,10.1
23,2011-02-14,120,42.786489,-73.8610478,2011-02-14T10:30:21Z,9.966666666666667
23,2011-02-14,120,42.7864128,-73.8609622,2011-02-14T10:40:19Z,10.55
23,2011-02-14,120,42.7865288,-73.8607495,2011-02-14T10:50:52Z,9.383333333333333
23,2011-02-14,120,42.7866807,-73.8605416,2011-02-14T11:00:15Z,10.516666666666667
23,2011-02-14,120,42.7866287,-73.8604557,2011-02-14T11:10:46Z,9.6
23,2011-02-14,120,42.7866006,-73.8604764,2011-02-14T11:20:22Z,10
23,2011-02-14,120,42.7866804,-73.8606368,2011-02-14T11:30:22Z,9.966666666666667
23,2011-02-14,120,42.7867378,-73.8607809,2011-02-14T11:40:20Z,9.95
23,2011-02-14,120,42.7866697,-73.860617,2011-02-14T11:50:17Z,9.95
23,2011-02-14,120,42.7866406,-73.8604707,2011-02-14T12:00:14Z,10.633333333333333
23,2011-02-14,120,42.7867588,-73.8605576,2011-02-14T12:10:52Z,9.5
23,2011-02-14,120,42.7867023,-73.8605471,2011-02-14T12:20:22Z,9.8
23,2011-02-14,120,42.786638,-73.8605937,2011-02-14T12:30:10Z,10.033333333333333
23,2011-02-14,120,42.7867396,-73.860582,2011-02-14T12:40:12Z,10.15
23,2011-02-14,120,42.7867042,-73.8607988,2011-02-14T12:50:21Z,10.35
23,2011-02-14,120,42.7866226,-73.8605349,2011-02-14T13:00:42Z,9.6
23,2011-02-14,120,42.7867659,-73.8605768,2011-02-14T13:10:18Z,9.95
23,2011-02-14,120,42.7867217,-73.860567,2011-02-14T13:20:15Z,9.983333333333333
